cluster	cluster_id	synteny	synteny_pos	num_samples	representative	upstream	downstream	feature	feature_alt	gene	gene_alt	product	product_alt	product_clean	name	name_alt	dbxref	dbxref_alt	reference
malC__malD	Cluster_4719	1	4719	1	FM211187.6488__FM211187.6493	malC	malD	unannotated											FM211187.6488__FM211187.6493
malD	Cluster_4720	1	4720	1	FM211187.6493	malC__malD	malD__Cluster_4722	CDS		malD		putative maltose/maltodextrin ABC transport system permease protein		maltose/maltodextrin_ABC_transport_system_permease	putative maltose/maltodextrin ABC transport system permease protein				FM211187.6493
malD__Cluster_4722	Cluster_4721	1	4721	1	FM211187.6493__FM211187.6498	malD	Cluster_4722	unannotated											FM211187.6493__FM211187.6498
Cluster_4722	Cluster_4722	1	4722	1	FM211187.6498	malD__Cluster_4722	Cluster_4723	repeat_region											FM211187.6498
Cluster_4723	Cluster_4723	1	4723	1	FM211187.6499	Cluster_4722	Cluster_4723__malA	repeat_region											FM211187.6499
Cluster_4723__malA	Cluster_4724	1	4724	1	FM211187.6499__FM211187.6500	Cluster_4723	malA	unannotated											FM211187.6499__FM211187.6500
malA	Cluster_4725	1	4725	1	FM211187.6500	Cluster_4723__malA	malA__malR	CDS		malA		putative maltodextrose utilization protein MalA		maltodextrose_utilization_protein_MalA	putative maltodextrose utilization protein MalA				FM211187.6500
malA__malR	Cluster_4726	1	4726	1	FM211187.6500__FM211187.6503	malA	malR	unannotated											FM211187.6500__FM211187.6503
malR	Cluster_4727	1	4727	1	FM211187.6503	malA__malR	malR__Cluster_4729	CDS		malR		maltose operon transcriptional repressor		maltose_operon_transcriptional_repressor	maltose operon transcriptional repressor				FM211187.6503
malR__Cluster_4729	Cluster_4728	1	4728	1	FM211187.6503__FM211187.6507	malR	Cluster_4729	unannotated											FM211187.6503__FM211187.6507
Cluster_4729	Cluster_4729	1	4729	1	FM211187.6507	malR__Cluster_4729	Cluster_4729__IS1167_transposase.5	repeat_region											FM211187.6507
Cluster_4729__IS1167_transposase.5	Cluster_4730	1	4730	1	FM211187.6507__FM211187.6508	Cluster_4729	IS1167_transposase.5	unannotated											FM211187.6507__FM211187.6508
IS1167_transposase.5	Cluster_4731	1	4731	1	FM211187.6508	Cluster_4733__IS1167_transposase.5	Cluster_4729__IS1167_transposase.5	CDS				putative IS1167 transposase		IS1167_transposase	putative IS1167 transposase				FM211187.6508
Cluster_4733__IS1167_transposase.5	Cluster_4732	1	4732	1	FM211187.6508__FM211187.6510	Cluster_4733	IS1167_transposase.5	unannotated											FM211187.6508__FM211187.6510
Cluster_4733	Cluster_4733	1	4733	1	FM211187.6510	repetitive_protein	Cluster_4733__IS1167_transposase.5	repeat_region											FM211187.6510
repetitive_protein	Cluster_4734	1	4734	1	FM211187.6511	Cluster_4733	Cluster_4735	CDS				putative repetitive protein		repetitive_protein	putative repetitive protein				FM211187.6511
Cluster_4735	Cluster_4735	1	4735	1	FM211187.6512	Cluster_4736	repetitive_protein	repeat_region											FM211187.6512
Cluster_4736	Cluster_4736	1	4736	1	FM211187.6513	Cluster_4737	Cluster_4735	repeat_region											FM211187.6513
Cluster_4737	Cluster_4737	1	4737	1	FM211187.6514	Cluster_4738	Cluster_4736	repeat_region											FM211187.6514
Cluster_4738	Cluster_4738	1	4738	1	FM211187.6515	Cluster_4739	Cluster_4737	repeat_region											FM211187.6515
Cluster_4739	Cluster_4739	1	4739	1	FM211187.6516	Cluster_4740	Cluster_4738	repeat_region											FM211187.6516
Cluster_4740	Cluster_4740	1	4740	1	FM211187.6517	Cluster_4741	Cluster_4739	repeat_region											FM211187.6517
Cluster_4741	Cluster_4741	1	4741	1	FM211187.6518	Cluster_4742	Cluster_4740	repeat_region											FM211187.6518
Cluster_4742	Cluster_4742	1	4742	1	FM211187.6519	Cluster_4743	Cluster_4741	repeat_region											FM211187.6519
Cluster_4743	Cluster_4743	1	4743	1	FM211187.6520	Cluster_4744	Cluster_4742	repeat_region											FM211187.6520
Cluster_4744	Cluster_4744	1	4744	1	FM211187.6521	Cluster_4745	Cluster_4743	repeat_region											FM211187.6521
Cluster_4745	Cluster_4745	1	4745	1	FM211187.6522	Cluster_4746	Cluster_4744	repeat_region											FM211187.6522
Cluster_4746	Cluster_4746	1	4746	1	FM211187.6523	membrane_protein.134__Cluster_4746	Cluster_4745	repeat_region											FM211187.6523
membrane_protein.134__Cluster_4746	Cluster_4747	1	4747	1	FM211187.6523__FM211187.6524	membrane_protein.134	Cluster_4746	unannotated											FM211187.6523__FM211187.6524
membrane_protein.134	Cluster_4748	1	4748	1	FM211187.6524	aspS	membrane_protein.134__Cluster_4746	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.6524
aspS	Cluster_4749	1	4749	1	FM211187.6529	uncharacterized_protein.106__aspS	membrane_protein.134	CDS		aspS		aspartyl-tRNA synthetase		aspartyl-tRNA_synthetase	aspartyl-tRNA synthetase				FM211187.6529
uncharacterized_protein.106__aspS	Cluster_4750	1	4750	1	FM211187.6529__FM211187.6535	uncharacterized_protein.106	aspS	unannotated											FM211187.6529__FM211187.6535
uncharacterized_protein.106	Cluster_4751	1	4751	1	FM211187.6535	Cluster_4752	uncharacterized_protein.106__aspS	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.6535
Cluster_4752	Cluster_4752	1	4752	1	FM211187.6536	uncharacterized_protein.106	Cluster_4753	repeat_region											FM211187.6536
Cluster_4753	Cluster_4753	1	4753	1	FM211187.6537	Cluster_4752	Cluster_4754	repeat_region											FM211187.6537
Cluster_4754	Cluster_4754	1	4754	1	FM211187.6538	Cluster_4753	Cluster_4755	repeat_region											FM211187.6538
Cluster_4755	Cluster_4755	1	4755	1	FM211187.6539	Cluster_4754	Cluster_4756	repeat_region											FM211187.6539
Cluster_4756	Cluster_4756	1	4756	1	FM211187.6540	Cluster_4755	Cluster_4756__membrane_protein.135	repeat_region											FM211187.6540
Cluster_4756__membrane_protein.135	Cluster_4757	1	4757	1	FM211187.6540__FM211187.6541	Cluster_4756	membrane_protein.135	unannotated											FM211187.6540__FM211187.6541
membrane_protein.135	Cluster_4758	1	4758	1	FM211187.6541	CAAX_amino_terminal_protease_family_membrane_prote.2__membrane_protein.135	Cluster_4756__membrane_protein.135	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.6541
CAAX_amino_terminal_protease_family_membrane_prote.2__membrane_protein.135	Cluster_4759	1	4759	1	FM211187.6541__FM211187.6544	CAAX_amino_terminal_protease_family_membrane_prote.2	membrane_protein.135	unannotated											FM211187.6541__FM211187.6544
CAAX_amino_terminal_protease_family_membrane_prote.2	Cluster_4760	1	4760	1	FM211187.6544	membrane_protein.136__CAAX_amino_terminal_protease_family_membrane_prote.2	CAAX_amino_terminal_protease_family_membrane_prote.2__membrane_protein.135	CDS				CAAX amino terminal protease family membrane protein		CAAX_amino_terminal_protease_family_membrane_prote	CAAX amino terminal protease family membrane protein				FM211187.6544
membrane_protein.136__CAAX_amino_terminal_protease_family_membrane_prote.2	Cluster_4761	1	4761	1	FM211187.6544__FM211187.6548	membrane_protein.136	CAAX_amino_terminal_protease_family_membrane_prote.2	unannotated											FM211187.6544__FM211187.6548
membrane_protein.136	Cluster_4762	1	4762	1	FM211187.6548	membrane_protein.137__membrane_protein.136	membrane_protein.136__CAAX_amino_terminal_protease_family_membrane_prote.2	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.6548
membrane_protein.137__membrane_protein.136	Cluster_4763	1	4763	1	FM211187.6548__FM211187.6551	membrane_protein.137	membrane_protein.136	unannotated											FM211187.6548__FM211187.6551
membrane_protein.137	Cluster_4764	1	4764	1	FM211187.6551	DNA-binding_protein.16	membrane_protein.137__membrane_protein.136	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.6551
DNA-binding_protein.16	Cluster_4765	1	4765	1	FM211187.6553	membrane_protein.138__DNA-binding_protein.16	membrane_protein.137	CDS				putative DNA-binding protein		DNA-binding_protein	putative DNA-binding protein				FM211187.6553
membrane_protein.138__DNA-binding_protein.16	Cluster_4766	1	4766	1	FM211187.6553__FM211187.6555	membrane_protein.138	DNA-binding_protein.16	unannotated											FM211187.6553__FM211187.6555
membrane_protein.138	Cluster_4767	1	4767	1	FM211187.6555	uncharacterized_protein.107	membrane_protein.138__DNA-binding_protein.16	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.6555
uncharacterized_protein.107	Cluster_4768	1	4768	1	FM211187.6557	Cluster_4769	membrane_protein.138	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.6557
Cluster_4769	Cluster_4769	1	4769	1	FM211187.6558	uncharacterized_protein.107	Cluster_4770	repeat_region											FM211187.6558
Cluster_4770	Cluster_4770	1	4770	1	FM211187.6559	Cluster_4769	Cluster_4771	repeat_region											FM211187.6559
Cluster_4771	Cluster_4771	1	4771	1	FM211187.6560	Cluster_4770	Cluster_4772	repeat_region											FM211187.6560
Cluster_4772	Cluster_4772	1	4772	1	FM211187.6561	Cluster_4771	hisS	repeat_region											FM211187.6561
hisS	Cluster_4773	1	4773	1	FM211187.6562	Major_Facilitator_Superfamily_protein.3__hisS	Cluster_4772	CDS		hisS		histidyl-tRNA synthetase		histidyl-tRNA_synthetase	histidyl-tRNA synthetase				FM211187.6562
Major_Facilitator_Superfamily_protein.3__hisS	Cluster_4774	1	4774	1	FM211187.6562__FM211187.6566	Major_Facilitator_Superfamily_protein.3	hisS	unannotated											FM211187.6562__FM211187.6566
Major_Facilitator_Superfamily_protein.3	Cluster_4775	1	4775	1	FM211187.6566	Major_Facilitator_Superfamily_protein.3__IS4-family_transposase	Major_Facilitator_Superfamily_protein.3__hisS	CDS				putative Major Facilitator Superfamily protein		Major_Facilitator_Superfamily_protein	putative Major Facilitator Superfamily protein				FM211187.6566
Major_Facilitator_Superfamily_protein.3__IS4-family_transposase	Cluster_4776	1	4776	1	FM211187.6566__FM211187.6570	Major_Facilitator_Superfamily_protein.3	IS4-family_transposase	unannotated											FM211187.6566__FM211187.6570
IS4-family_transposase	Cluster_4777	1	4777	1	FM211187.6570	Major_Facilitator_Superfamily_protein.3__IS4-family_transposase	IS4-family_transposase__DNA-binding_protein.17	CDS				putative IS4-family transposase		IS4-family_transposase	putative IS4-family transposase				FM211187.6570
IS4-family_transposase__DNA-binding_protein.17	Cluster_4778	1	4778	1	FM211187.6570__FM211187.6572	IS4-family_transposase	DNA-binding_protein.17	unannotated											FM211187.6570__FM211187.6572
DNA-binding_protein.17	Cluster_4779	1	4779	1	FM211187.6572	insertion_sequence_IS1239_transposase.2__DNA-binding_protein.17	IS4-family_transposase__DNA-binding_protein.17	CDS				putative DNA-binding protein		DNA-binding_protein	putative DNA-binding protein				FM211187.6572
insertion_sequence_IS1239_transposase.2__DNA-binding_protein.17	Cluster_4780	1	4780	1	FM211187.6572__FM211187.6573	insertion_sequence_IS1239_transposase.2	DNA-binding_protein.17	unannotated											FM211187.6572__FM211187.6573
insertion_sequence_IS1239_transposase.2	Cluster_4781	1	4781	1	FM211187.6573	insertion_sequence_IS1239_transposase.2__conserved_protein.143	insertion_sequence_IS1239_transposase.2__DNA-binding_protein.17	CDS				putative insertion sequence IS1239 putative transposase		insertion_sequence_IS1239_transposase	putative insertion sequence IS1239 putative transposase				FM211187.6573
insertion_sequence_IS1239_transposase.2__conserved_protein.143	Cluster_4782	1	4782	1	FM211187.6573__FM211187.6575	insertion_sequence_IS1239_transposase.2	conserved_protein.143	unannotated											FM211187.6573__FM211187.6575
conserved_protein.143	Cluster_4783	1	4783	1	FM211187.6575	insertion_sequence_IS1239_transposase.2__conserved_protein.143	conserved_protein.143__Cluster_4785	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.6575
conserved_protein.143__Cluster_4785	Cluster_4784	1	4784	1	FM211187.6575__FM211187.6577	conserved_protein.143	Cluster_4785	unannotated											FM211187.6575__FM211187.6577
Cluster_4785	Cluster_4785	1	4785	1	FM211187.6577	Cluster_4786	conserved_protein.143__Cluster_4785	repeat_region											FM211187.6577
Cluster_4786	Cluster_4786	1	4786	1	FM211187.6578	Cluster_4787	Cluster_4785	repeat_region											FM211187.6578
Cluster_4787	Cluster_4787	1	4787	1	FM211187.6579	ilvD__Cluster_4787	Cluster_4786	repeat_region											FM211187.6579
ilvD__Cluster_4787	Cluster_4788	1	4788	1	FM211187.6579__FM211187.6580	ilvD	Cluster_4787	unannotated											FM211187.6579__FM211187.6580
ilvD	Cluster_4789	1	4789	1	FM211187.6580	transketolase_subunit.1__ilvD	ilvD__Cluster_4787	CDS		ilvD		dihydroxy-acid dehydratase		dihydroxy-acid_dehydratase	dihydroxy-acid dehydratase				FM211187.6580
transketolase_subunit.1__ilvD	Cluster_4790	1	4790	1	FM211187.6580__FM211187.6584	transketolase_subunit.1	ilvD	unannotated											FM211187.6580__FM211187.6584
transketolase_subunit.1	Cluster_4791	1	4791	1	FM211187.6584	transketolase_subunit.2	transketolase_subunit.1__ilvD	CDS				putative transketolase subunit		transketolase_subunit	putative transketolase subunit				FM211187.6584
transketolase_subunit.2	Cluster_4792	1	4792	1	FM211187.6587	sugar-specific_permease_SgaT/UlaA_family.2__transketolase_subunit.2	transketolase_subunit.1	CDS				putative transketolase subunit		transketolase_subunit	putative transketolase subunit				FM211187.6587
sugar-specific_permease_SgaT/UlaA_family.2__transketolase_subunit.2	Cluster_4793	1	4793	1	FM211187.6587__FM211187.6589	sugar-specific_permease_SgaT/UlaA_family.2	transketolase_subunit.2	unannotated											FM211187.6587__FM211187.6589
sugar-specific_permease_SgaT/UlaA_family.2	Cluster_4794	1	4794	1	FM211187.6589	sugar_phosphotransferase_system_PTSlactose/cellobi.5__sugar-specific_permease_SgaT/UlaA_family.2	sugar-specific_permease_SgaT/UlaA_family.2__transketolase_subunit.2	CDS				putative sugar-specific permease, SgaT/UlaA family		sugar-specific_permease_SgaT/UlaA_family	putative sugar-specific permease, SgaT/UlaA family				FM211187.6589
sugar_phosphotransferase_system_PTSlactose/cellobi.5__sugar-specific_permease_SgaT/UlaA_family.2	Cluster_4795	1	4795	1	FM211187.6589__FM211187.6592	sugar_phosphotransferase_system_PTSlactose/cellobi.5	sugar-specific_permease_SgaT/UlaA_family.2	unannotated											FM211187.6589__FM211187.6592
sugar_phosphotransferase_system_PTSlactose/cellobi.5	Cluster_4796	1	4796	1	FM211187.6592	PTS_multi-domain_regulator__sugar_phosphotransferase_system_PTSlactose/cellobi.5	sugar_phosphotransferase_system_PTSlactose/cellobi.5__sugar-specific_permease_SgaT/UlaA_family.2	CDS				sugar phosphotransferase system (PTS),lactose/cellobiose-specific family, IIB subunit protein		sugar_phosphotransferase_system_PTSlactose/cellobi	sugar phosphotransferase system (PTS),lactose/cellobiose-specific family, IIB subunit protein				FM211187.6592
PTS_multi-domain_regulator__sugar_phosphotransferase_system_PTSlactose/cellobi.5	Cluster_4797	1	4797	1	FM211187.6592__FM211187.6594	PTS_multi-domain_regulator	sugar_phosphotransferase_system_PTSlactose/cellobi.5	unannotated											FM211187.6592__FM211187.6594
PTS_multi-domain_regulator	Cluster_4798	1	4798	1	FM211187.6594	PTS_multi-domain_regulator__membrane_protein.139	PTS_multi-domain_regulator__sugar_phosphotransferase_system_PTSlactose/cellobi.5	CDS				putative PTS multi-domain regulator		PTS_multi-domain_regulator	putative PTS multi-domain regulator				FM211187.6594
PTS_multi-domain_regulator__membrane_protein.139	Cluster_4799	1	4799	1	FM211187.6594__FM211187.6598	PTS_multi-domain_regulator	membrane_protein.139	unannotated											FM211187.6594__FM211187.6598
membrane_protein.139	Cluster_4800	1	4800	1	FM211187.6598	PTS_multi-domain_regulator__membrane_protein.139	membrane_protein.139__uncharacterized_protein.108	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.6598
membrane_protein.139__uncharacterized_protein.108	Cluster_4801	1	4801	1	FM211187.6598__FM211187.6601	membrane_protein.139	uncharacterized_protein.108	unannotated											FM211187.6598__FM211187.6601
uncharacterized_protein.108	Cluster_4802	1	4802	1	FM211187.6601	membrane_protein.139__uncharacterized_protein.108	uncharacterized_protein.108__rpmF	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.6601
uncharacterized_protein.108__rpmF	Cluster_4803	1	4803	1	FM211187.6601__FM211187.6602	uncharacterized_protein.108	rpmF	unannotated											FM211187.6601__FM211187.6602
rpmF	Cluster_4804	1	4804	1	FM211187.6602	uncharacterized_protein.108__rpmF	rpmF__rpmG1	CDS		rpmF		50S ribosomal protein L32		50S_ribosomal_protein_L32	50S ribosomal protein L32				FM211187.6602
rpmF__rpmG1	Cluster_4805	1	4805	1	FM211187.6602__FM211187.6604	rpmF	rpmG1	unannotated											FM211187.6602__FM211187.6604
rpmG1	Cluster_4806	1	4806	1	FM211187.6604	rpmF__rpmG1	rpmG1__transposase.5	CDS		rpmG1		50S ribosomal protein L33 1		50S_ribosomal_protein_L33_1	50S ribosomal protein L33 1				FM211187.6604
rpmG1__transposase.5	Cluster_4807	1	4807	1	FM211187.6604__FM211187.6606	rpmG1	transposase.5	unannotated											FM211187.6604__FM211187.6606
transposase.5	Cluster_4808	1	4808	1	FM211187.6606	rpmG1__transposase.5	transposase.5__pcpA	CDS				putative transposase		transposase	putative transposase				FM211187.6606
transposase.5__pcpA	Cluster_4809	1	4809	1	FM211187.6606__FM211187.6608	transposase.5	pcpA	unannotated											FM211187.6606__FM211187.6608
pcpA	Cluster_4810	1	4810	1	FM211187.6608	pcpA__IS1381_transposase_pseudogene.6	transposase.5__pcpA	CDS		pcpA		cell surface choline binding protein PcpA		cell_surface_choline_binding_protein_PcpA	cell surface choline binding protein PcpA				FM211187.6608
pcpA__IS1381_transposase_pseudogene.6	Cluster_4811	1	4811	1	FM211187.6608__FM211187.6619.1	pcpA	IS1381_transposase_pseudogene.6	unannotated											FM211187.6608__FM211187.6619.1
IS1381_transposase_pseudogene.6	Cluster_4812	1	4812	1	FM211187.6619.1	pcpA__IS1381_transposase_pseudogene.6	Cluster_4813	CDS				IS1381 transposase (pseudogene)		IS1381_transposase_pseudogene	IS1381 transposase (pseudogene)				FM211187.6619.1
Cluster_4813	Cluster_4813	1	4813	1	FM211187.6619.2	IS1381_transposase_pseudogene.6	Cluster_4813__IS1381_transposase_pseudogene.7	CDS											FM211187.6619.2
Cluster_4813__IS1381_transposase_pseudogene.7	Cluster_4814	1	4814	1	FM211187.6619.2__FM211187.6621	Cluster_4813	IS1381_transposase_pseudogene.7	unannotated											FM211187.6619.2__FM211187.6621
IS1381_transposase_pseudogene.7	Cluster_4815	1	4815	1	FM211187.6621	Cluster_4813__IS1381_transposase_pseudogene.7	IS1381_transposase_pseudogene.7__protein_pseudogene.6	CDS				IS1381 transposase (pseudogene)		IS1381_transposase_pseudogene	IS1381 transposase (pseudogene)				FM211187.6621
IS1381_transposase_pseudogene.7__protein_pseudogene.6	Cluster_4816	1	4816	1	FM211187.6621__FM211187.6623	IS1381_transposase_pseudogene.7	protein_pseudogene.6	unannotated											FM211187.6621__FM211187.6623
protein_pseudogene.6	Cluster_4817	1	4817	1	FM211187.6623	Cluster_4819__protein_pseudogene.6	IS1381_transposase_pseudogene.7__protein_pseudogene.6	CDS				hypothetical protein (pseudogene)		protein_pseudogene	hypothetical protein (pseudogene)				FM211187.6623
Cluster_4819__protein_pseudogene.6	Cluster_4818	1	4818	1	FM211187.6623__FM211187.6624	Cluster_4819	protein_pseudogene.6	unannotated											FM211187.6623__FM211187.6624
Cluster_4819	Cluster_4819	1	4819	1	FM211187.6624	Cluster_4820	Cluster_4819__protein_pseudogene.6	repeat_region											FM211187.6624
Cluster_4820	Cluster_4820	1	4820	1	FM211187.6625	Cluster_4821	Cluster_4819	repeat_region											FM211187.6625
Cluster_4821	Cluster_4821	1	4821	1	FM211187.6626	gcnA	Cluster_4820	repeat_region											FM211187.6626
gcnA	Cluster_4822	1	4822	1	FM211187.6627	ROK_family_protein.3	Cluster_4821	CDS		gcnA		N-acetyl-beta-D-glucosaminidase		N-acetyl-beta-D-glucosaminidase	N-acetyl-beta-D-glucosaminidase				FM211187.6627
ROK_family_protein.3	Cluster_4823	1	4823	1	FM211187.6629	glycosyl_hydrolase.3__ROK_family_protein.3	gcnA	CDS				ROK family protein		ROK_family_protein	ROK family protein				FM211187.6629
glycosyl_hydrolase.3__ROK_family_protein.3	Cluster_4824	1	4824	1	FM211187.6629__FM211187.6631	glycosyl_hydrolase.3	ROK_family_protein.3	unannotated											FM211187.6629__FM211187.6631
glycosyl_hydrolase.3	Cluster_4825	1	4825	1	FM211187.6631	conserved_protein.144__glycosyl_hydrolase.3	glycosyl_hydrolase.3__ROK_family_protein.3	CDS				putative glycosyl hydrolase		glycosyl_hydrolase	putative glycosyl hydrolase				FM211187.6631
conserved_protein.144__glycosyl_hydrolase.3	Cluster_4826	1	4826	1	FM211187.6631__FM211187.6634	conserved_protein.144	glycosyl_hydrolase.3	unannotated											FM211187.6631__FM211187.6634
conserved_protein.144	Cluster_4827	1	4827	1	FM211187.6634	conserved_protein.144__alpha-12-mannosidase	conserved_protein.144__glycosyl_hydrolase.3	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.6634
conserved_protein.144__alpha-12-mannosidase	Cluster_4828	1	4828	1	FM211187.6634__FM211187.6636	conserved_protein.144	alpha-12-mannosidase	unannotated											FM211187.6634__FM211187.6636
alpha-12-mannosidase	Cluster_4829	1	4829	1	FM211187.6636	conserved_protein.144__alpha-12-mannosidase	alpha-12-mannosidase__fucosidase	CDS				putative alpha-1,2-mannosidase		alpha-12-mannosidase	putative alpha-1,2-mannosidase				FM211187.6636
alpha-12-mannosidase__fucosidase	Cluster_4830	1	4830	1	FM211187.6636__FM211187.6639	alpha-12-mannosidase	fucosidase	unannotated											FM211187.6636__FM211187.6639
fucosidase	Cluster_4831	1	4831	1	FM211187.6639	fucosidase__arcA	alpha-12-mannosidase__fucosidase	CDS				putative fucosidase		fucosidase	putative fucosidase				FM211187.6639
fucosidase__arcA	Cluster_4832	1	4832	1	FM211187.6639__FM211187.6640	fucosidase	arcA	unannotated											FM211187.6639__FM211187.6640
arcA	Cluster_4833	1	4833	1	FM211187.6640	fucosidase__arcA	arcA__arcB	CDS		arcA		arginine deiminase		arginine_deiminase	arginine deiminase				FM211187.6640
arcA__arcB	Cluster_4834	1	4834	1	FM211187.6640__FM211187.6642	arcA	arcB	unannotated											FM211187.6640__FM211187.6642
arcB	Cluster_4835	1	4835	1	FM211187.6642	arcA__arcB	arcB__arcC	CDS		arcB		ornithine carbamoyltransferase		ornithine_carbamoyltransferase	ornithine carbamoyltransferase				FM211187.6642
arcB__arcC	Cluster_4836	1	4836	1	FM211187.6642__FM211187.6646	arcB	arcC	unannotated											FM211187.6642__FM211187.6646
arcC	Cluster_4837	1	4837	1	FM211187.6646	arcB__arcC	arcC__C4-dicarboxylate_anaerobic_carrier_protein	CDS		arcC		carbamate kinase		carbamate_kinase	carbamate kinase				FM211187.6646
arcC__C4-dicarboxylate_anaerobic_carrier_protein	Cluster_4838	1	4838	1	FM211187.6646__FM211187.6649	arcC	C4-dicarboxylate_anaerobic_carrier_protein	unannotated											FM211187.6646__FM211187.6649
C4-dicarboxylate_anaerobic_carrier_protein	Cluster_4839	1	4839	1	FM211187.6649	arcC__C4-dicarboxylate_anaerobic_carrier_protein	C4-dicarboxylate_anaerobic_carrier_protein__petidase	CDS				C4-dicarboxylate anaerobic carrier protein		C4-dicarboxylate_anaerobic_carrier_protein	C4-dicarboxylate anaerobic carrier protein				FM211187.6649
C4-dicarboxylate_anaerobic_carrier_protein__petidase	Cluster_4840	1	4840	1	FM211187.6649__FM211187.6653	C4-dicarboxylate_anaerobic_carrier_protein	petidase	unannotated											FM211187.6649__FM211187.6653
petidase	Cluster_4841	1	4841	1	FM211187.6653	C4-dicarboxylate_anaerobic_carrier_protein__petidase	petidase__transposase_fragment.6	CDS				putative petidase		petidase	putative petidase				FM211187.6653
petidase__transposase_fragment.6	Cluster_4842	1	4842	1	FM211187.6653__FM211187.6655	petidase	transposase_fragment.6	unannotated											FM211187.6653__FM211187.6655
transposase_fragment.6	Cluster_4843	1	4843	1	FM211187.6655	petidase__transposase_fragment.6	transposase_fragment.6__Cluster_4845	CDS				putative transposase fragment		transposase_fragment	putative transposase fragment				FM211187.6655
transposase_fragment.6__Cluster_4845	Cluster_4844	1	4844	1	FM211187.6655__FM211187.6656	transposase_fragment.6	Cluster_4845	unannotated											FM211187.6655__FM211187.6656
Cluster_4845	Cluster_4845	1	4845	1	FM211187.6656	transposase_fragment.6__Cluster_4845	surface_protein_fragment	repeat_region											FM211187.6656
surface_protein_fragment	Cluster_4846	1	4846	1	FM211187.6657.1	Cluster_4847	Cluster_4845	CDS				putative surface protein (fragment)		surface_protein_fragment	putative surface protein (fragment)				FM211187.6657.1
Cluster_4847	Cluster_4847	1	4847	1	FM211187.6657.2	Cluster_4849__Cluster_4847	surface_protein_fragment	CDS											FM211187.6657.2
Cluster_4849__Cluster_4847	Cluster_4848	1	4848	1	FM211187.6657.2__FM211187.6662	Cluster_4849	Cluster_4847	unannotated											FM211187.6657.2__FM211187.6662
Cluster_4849	Cluster_4849	1	4849	1	FM211187.6662	Cluster_4850	Cluster_4849__Cluster_4847	repeat_region											FM211187.6662
Cluster_4850	Cluster_4850	1	4850	1	FM211187.6663	Cluster_4851	Cluster_4849	repeat_region											FM211187.6663
Cluster_4851	Cluster_4851	1	4851	1	FM211187.6664	Cluster_4852	Cluster_4850	repeat_region											FM211187.6664
Cluster_4852	Cluster_4852	1	4852	1	FM211187.6665	membrane_protein.140__Cluster_4852	Cluster_4851	repeat_region											FM211187.6665
membrane_protein.140__Cluster_4852	Cluster_4853	1	4853	1	FM211187.6665__FM211187.6666	membrane_protein.140	Cluster_4852	unannotated											FM211187.6665__FM211187.6666
membrane_protein.140	Cluster_4854	1	4854	1	FM211187.6666	probable_alcohol_dehydrogenase__membrane_protein.140	membrane_protein.140__Cluster_4852	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.6666
probable_alcohol_dehydrogenase__membrane_protein.140	Cluster_4855	1	4855	1	FM211187.6666__FM211187.6670	probable_alcohol_dehydrogenase	membrane_protein.140	unannotated											FM211187.6666__FM211187.6670
probable_alcohol_dehydrogenase	Cluster_4856	1	4856	1	FM211187.6670	fucI__probable_alcohol_dehydrogenase	probable_alcohol_dehydrogenase__membrane_protein.140	CDS				probable alcohol dehydrogenase		probable_alcohol_dehydrogenase	probable alcohol dehydrogenase				FM211187.6670
fucI__probable_alcohol_dehydrogenase	Cluster_4857	1	4857	1	FM211187.6670__FM211187.6675	fucI	probable_alcohol_dehydrogenase	unannotated											FM211187.6670__FM211187.6675
fucI	Cluster_4858	1	4858	1	FM211187.6675	exported_glycosyl_hydrolase__fucI	fucI__probable_alcohol_dehydrogenase	CDS		fucI		putative L-fucose isomerase		L-fucose_isomerase	putative L-fucose isomerase				FM211187.6675
exported_glycosyl_hydrolase__fucI	Cluster_4859	1	4859	1	FM211187.6675__FM211187.6679	exported_glycosyl_hydrolase	fucI	unannotated											FM211187.6675__FM211187.6679
exported_glycosyl_hydrolase	Cluster_4860	1	4860	1	FM211187.6679	conserved_protein.145__exported_glycosyl_hydrolase	exported_glycosyl_hydrolase__fucI	CDS				putative exported glycosyl hydrolase		exported_glycosyl_hydrolase	putative exported glycosyl hydrolase				FM211187.6679
conserved_protein.145__exported_glycosyl_hydrolase	Cluster_4861	1	4861	1	FM211187.6679__FM211187.6687	conserved_protein.145	exported_glycosyl_hydrolase	unannotated											FM211187.6679__FM211187.6687
